precision,accuracy,noise accuracy,batch_size,learning_rate
6,-1,-1,128,0.003125
6,-1,-1,128,0.0015625
6,-1,-1,256,0.1
6,-1,-1,256,0.05
6,-1,-1,256,0.025
6,-1,-1,256,0.0125
6,-1,-1,256,0.00625
6,-1,-1,256,0.003125
6,-1,-1,256,0.0015625
6,-1,-1,512,0.1
6,-1,-1,512,0.05
6,-1,-1,512,0.025
6,-1,-1,512,0.0125
6,-1,-1,512,0.00625
6,-1,-1,512,0.003125
6,-1,-1,512,0.0015625
6,-1,-1,1024,0.1
6,-1,-1,1024,0.05
6,-1,-1,1024,0.025
6,-1,-1,1024,0.0125
6,-1,-1,1024,0.00625
6,-1,-1,1024,0.003125
6,-1,-1,1024,0.0015625
7,-1,-1,16,0.1
7,-1,-1,16,0.05
7,-1,-1,16,0.025
7,-1,-1,16,0.0125
7,-1,-1,16,0.00625
7,-1,-1,16,0.003125
7,-1,-1,16,0.0015625
7,-1,-1,32,0.1
7,-1,-1,32,0.05
7,-1,-1,32,0.025
7,-1,-1,32,0.0125
7,-1,-1,32,0.00625
7,-1,-1,32,0.003125
7,-1,-1,32,0.0015625
7,-1,-1,64,0.1
7,-1,-1,64,0.05
7,-1,-1,64,0.025
7,-1,-1,64,0.0125
7,-1,-1,64,0.00625
7,-1,-1,64,0.003125
7,-1,-1,64,0.0015625
7,-1,-1,128,0.1
7,-1,-1,128,0.05
7,-1,-1,128,0.025
7,-1,-1,128,0.0125
7,-1,-1,128,0.00625
7,-1,-1,128,0.003125
7,-1,-1,128,0.0015625
7,-1,-1,256,0.1
7,-1,-1,256,0.05
7,-1,-1,256,0.025
7,-1,-1,256,0.0125
7,-1,-1,256,0.00625
7,-1,-1,256,0.003125
7,-1,-1,256,0.0015625
7,-1,-1,512,0.1
7,-1,-1,512,0.05
7,-1,-1,512,0.025
7,-1,-1,512,0.0125
7,-1,-1,512,0.00625
7,-1,-1,512,0.003125
7,-1,-1,512,0.0015625
7,-1,-1,1024,0.1
7,-1,-1,1024,0.05
7,-1,-1,1024,0.025
7,-1,-1,1024,0.0125
7,-1,-1,1024,0.00625
7,-1,-1,1024,0.003125
7,-1,-1,1024,0.0015625
8,-1,-1,16,0.1
8,-1,-1,16,0.05
8,-1,-1,16,0.025
8,-1,-1,16,0.0125
8,-1,-1,16,0.00625
8,-1,-1,16,0.003125
8,-1,-1,16,0.0015625
8,-1,-1,32,0.1
8,-1,-1,32,0.05
8,-1,-1,32,0.025
8,-1,-1,32,0.0125
8,-1,-1,32,0.00625
8,-1,-1,32,0.003125
8,-1,-1,32,0.0015625
8,-1,-1,64,0.1
8,-1,-1,64,0.05
8,-1,-1,64,0.025
8,-1,-1,64,0.0125
8,-1,-1,64,0.00625
8,-1,-1,64,0.003125
8,-1,-1,64,0.0015625
8,-1,-1,128,0.1
8,-1,-1,128,0.05
8,-1,-1,128,0.025
8,-1,-1,128,0.0125
8,-1,-1,128,0.00625
8,-1,-1,128,0.003125
8,-1,-1,128,0.0015625
8,-1,-1,256,0.1
8,-1,-1,256,0.05
8,-1,-1,256,0.025
8,-1,-1,256,0.0125
8,-1,-1,256,0.00625
8,-1,-1,256,0.003125
8,-1,-1,256,0.0015625
8,-1,-1,512,0.1
8,-1,-1,512,0.05
8,-1,-1,512,0.025
8,-1,-1,512,0.0125
8,-1,-1,512,0.00625
8,-1,-1,512,0.003125
8,-1,-1,512,0.0015625
8,-1,-1,1024,0.1
8,-1,-1,1024,0.05
8,-1,-1,1024,0.025
8,-1,-1,1024,0.0125
8,-1,-1,1024,0.00625
8,-1,-1,1024,0.003125
8,-1,-1,1024,0.0015625
9,-1,-1,16,0.1
9,-1,-1,16,0.05
9,-1,-1,16,0.025
9,-1,-1,16,0.0125
9,-1,-1,16,0.00625
9,-1,-1,16,0.003125
9,-1,-1,16,0.0015625
9,-1,-1,32,0.1
9,-1,-1,32,0.05
9,-1,-1,32,0.025
9,-1,-1,32,0.0125
9,-1,-1,32,0.00625
9,-1,-1,32,0.003125
9,-1,-1,32,0.0015625
9,-1,-1,64,0.1
9,-1,-1,64,0.05
9,-1,-1,64,0.025
9,-1,-1,64,0.0125
9,-1,-1,64,0.00625
9,-1,-1,64,0.003125
9,-1,-1,64,0.0015625
9,-1,-1,128,0.1
9,-1,-1,128,0.05
9,-1,-1,128,0.025
9,-1,-1,128,0.0125
9,-1,-1,128,0.00625
9,-1,-1,128,0.003125
9,-1,-1,128,0.0015625
9,-1,-1,256,0.1
9,-1,-1,256,0.05
9,-1,-1,256,0.025
9,-1,-1,256,0.0125
9,-1,-1,256,0.00625
9,-1,-1,256,0.003125
9,-1,-1,256,0.0015625
9,-1,-1,512,0.1
9,-1,-1,512,0.05
9,-1,-1,512,0.025
9,-1,-1,512,0.0125
9,-1,-1,512,0.00625
9,-1,-1,512,0.003125
9,-1,-1,512,0.0015625
9,-1,-1,1024,0.1
9,-1,-1,1024,0.05
9,-1,-1,1024,0.025
9,-1,-1,1024,0.0125
9,-1,-1,1024,0.00625
9,-1,-1,1024,0.003125
9,-1,-1,1024,0.0015625
10,-1,-1,16,0.1
10,-1,-1,16,0.05
10,-1,-1,16,0.025
10,-1,-1,16,0.0125
10,-1,-1,16,0.00625
10,-1,-1,16,0.003125
10,-1,-1,16,0.0015625
10,-1,-1,32,0.1
10,-1,-1,32,0.05
10,-1,-1,32,0.025
10,-1,-1,32,0.0125
10,-1,-1,32,0.00625
10,-1,-1,32,0.003125
10,-1,-1,32,0.0015625
10,-1,-1,64,0.1
10,-1,-1,64,0.05
10,-1,-1,64,0.025
10,-1,-1,64,0.0125
10,-1,-1,64,0.00625
10,-1,-1,64,0.003125
10,-1,-1,64,0.0015625
10,-1,-1,128,0.1
10,-1,-1,128,0.05
10,-1,-1,128,0.025
10,-1,-1,128,0.0125
10,-1,-1,128,0.00625
10,-1,-1,128,0.003125
10,-1,-1,128,0.0015625
10,-1,-1,256,0.1
10,-1,-1,256,0.05
10,-1,-1,256,0.025
10,-1,-1,256,0.0125
10,-1,-1,256,0.00625
10,-1,-1,256,0.003125
10,-1,-1,256,0.0015625
10,-1,-1,512,0.1
10,-1,-1,512,0.05
10,-1,-1,512,0.025
10,-1,-1,512,0.0125
10,-1,-1,512,0.00625
10,-1,-1,512,0.003125
10,-1,-1,512,0.0015625
10,-1,-1,1024,0.1
10,-1,-1,1024,0.05
10,-1,-1,1024,0.025
10,-1,-1,1024,0.0125
10,-1,-1,1024,0.00625
10,-1,-1,1024,0.003125
10,-1,-1,1024,0.0015625
11,-1,-1,16,0.1
11,-1,-1,16,0.05
11,-1,-1,16,0.025
11,-1,-1,16,0.0125
11,-1,-1,16,0.00625
11,-1,-1,16,0.003125
11,-1,-1,16,0.0015625
11,-1,-1,32,0.1
11,-1,-1,32,0.05
11,-1,-1,32,0.025
11,-1,-1,32,0.0125
11,-1,-1,32,0.00625
11,-1,-1,32,0.003125
11,-1,-1,32,0.0015625
11,-1,-1,64,0.1
11,-1,-1,64,0.05
11,-1,-1,64,0.025
11,-1,-1,64,0.0125
11,-1,-1,64,0.00625
11,-1,-1,64,0.003125
11,-1,-1,64,0.0015625
11,-1,-1,128,0.1
11,-1,-1,128,0.05
11,-1,-1,128,0.025
11,-1,-1,128,0.0125
11,-1,-1,128,0.00625
11,-1,-1,128,0.003125
11,-1,-1,128,0.0015625
11,-1,-1,256,0.1
11,-1,-1,256,0.05
11,-1,-1,256,0.025
11,-1,-1,256,0.0125
11,-1,-1,256,0.00625
11,-1,-1,256,0.003125
11,-1,-1,256,0.0015625
11,-1,-1,512,0.1
11,-1,-1,512,0.05
11,-1,-1,512,0.025
11,-1,-1,512,0.0125
11,-1,-1,512,0.00625
11,-1,-1,512,0.003125
11,-1,-1,512,0.0015625
11,-1,-1,1024,0.1
11,-1,-1,1024,0.05
11,-1,-1,1024,0.025
11,-1,-1,1024,0.0125
11,-1,-1,1024,0.00625
11,-1,-1,1024,0.003125
11,-1,-1,1024,0.0015625
